No.	Account Number	Action	Transaction Date	Time	Ticker	Name	No. of shares	Price / share	Currency (Price / share)	Exchange rate	Result (GBP)	Total (GBP)	Withholding tax	Currency (Withholding tax)	Charge amount (GBP)	Currency conversion fee (GBP)	
1	2131	Deposit	4/30/2020	5:20:49 ??	Null	Null	0	0			0	1000	0		1000	0	
2	2131	Market buy	4/30/2020	5:21:18 ??	PBCT	People's United Financial	50	12.76	USD	1.26	0	506.96	0		0	0	
3	2131	Market buy	5/4/2020	10:43:01 ??	NG	National Grid	1	929.8	GBX	100	0	9.34	0		0	0	
4	2131	Deposit	5/4/2020	10:43:01 ??	Null	Null	0	0			0	9.35	0		9.35	0	
5	2131	Market buy	5/4/2020	3:39:01 ??	T	AT&T	15	29.34	USD	1.24	0	354.19	0		0	0	
6	2131	Deposit	5/11/2020	5:17:25 ??	Null	Null	0	0			0	500	0		500	0	
7	2131	Market buy	5/11/2020	5:17:53 ??	META	Meta Platforms	2.5	213.32	USD	1.23	0	432.07	0		0	0	
8	2131	Deposit	5/18/2020	5:55:13 ??	Null	Null	0	0			0	500	0		500	0	
9	2131	Market buy	5/18/2020	5:55:24 ??	WELL	Welltower	15	44.68	USD	1.22	0	549.51	0		0	0	
10	2131	Deposit	5/28/2020	8:23:35 ??	Null	Null	0	0	USD		0	1000	0		1000	0	
11	2131	Market buy	5/29/2020	1:30:16 ??	META	Meta Platforms	2.5	225.42	USD	1.23	0	456.71	0		0	0	
12	2131	Market buy	5/29/2020	1:30:22 ??	EXPE	Expedia	8	78.6	USD	1.23	0	509.55	0		0	0	
13	2131	Deposit	6/2/2020	8:19:54 ??	Null	Null	0	0			0	320	0		320	0	
14	2131	Market buy	6/3/2020	1:31:06 ??	NET	Cloudflare	20	30.55	USD	1.26	0	486.4	0		0	0	
15	2131	Deposit	6/4/2020	11:42:38 ??	Null	Null	0	0			0	520	0		520	0	
16	2131	Market buy	6/5/2020	1:32:00 ??	AVGO	Broadcom	2	320	USD	1.27	0	504.03	0		0	0	
17	2131	Deposit	6/30/2020	1:24:00 ??	Null	Null	0	0			0	6000	0		6000	0	
18	2131	Market buy	6/30/2020	1:31:08 ??	GOOGL	Alphabet (Class A)	1	1396.62	USD	1.23	0	1134.57	0		0	0	
19	2131	Market buy	6/30/2020	1:31:11 ??	EXPE	Expedia	7	82.76	USD	1.23	0	470.64	0		0	0	
20	2131	Market buy	6/30/2020	1:31:36 ??	QCOM	Qualcomm	15	89.23	USD	1.23	0	1087.32	0		0	0	
21	2131	Market buy	6/30/2020	1:32:22 ??	META	Meta Platforms	3	219.94	USD	1.23	0	536	0		0	0	
22	2131	Market buy	6/30/2020	1:33:45 ??	FSLY	Fastly	8	82.4	USD	1.23	0	535.33	0		0	0	
23	2131	Market buy	6/30/2020	1:35:03 ??	NET	Cloudflare	18	35.43	USD	1.23	0	518.01	0		0	0	
24	2131	Market buy	6/30/2020	1:36:57 ??	AVGO	Broadcom	4	310.46	USD	1.23	0	1007.77	0		0	0	
25	2131	Deposit	6/30/2020	1:52:17 ??	Null	Null	0	0			0	1000	0		1000	0	
26	2131	Dividend (Ordinary)	7/1/2020	9:02:28 ??	AVGO	Broadcom	2	2.76	USD	Not available	0	4.46	0.98	USD	0	0	
27	2131	Deposit	7/1/2020	12:20:24 ??	Null	Null	0	0			0	1000	0		1000	0	
28	2131	Market buy	7/1/2020	1:30:35 ??	META	Meta Platforms	4	228.57	USD	1.24	0	736.52	0		0	0	
29	2131	Market buy	7/1/2020	1:31:23 ??	AAPL	Apple	2	365.09	USD	1.24	0	588.11	0		0	0	
30	2131	Market buy	7/1/2020	1:31:39 ??	NET	Cloudflare	20	36.05	USD	1.24	0	580.77	0		0	0	
31	2131	Market buy	7/1/2020	1:31:54 ??	FSLY	Fastly	8	84.01	USD	1.24	0	541.31	0		0	0	
32	2131	Market buy	7/9/2020	1:30:12 ??	LVGO	Livongo	3.5	98.97	USD	1.27	0	273.46	0		0	0	
33	2131	Deposit	7/31/2020	12:57:00 ??	Null	Null	0	0			0	1000	0		1000	0	
34	2131	Market buy	7/31/2020	1:30:16 ??	LVGO	Livongo	5	126.57	USD	1.31	0	481.42	0		0	0	
35	2131	Market buy	7/31/2020	1:30:26 ??	NFLX	Netflix	0.3	489	USD	1.31	0	111.59	0		0	0	
