Company Name,Ticker Symbol,"Date of First (Oldest)
Purchase","Date of Last (Most Recent) 
Purchase","Total Number of Shares
Purchased",Realized Capital Gain & Loss
3M,MMM,17/02/2021,11/04/2022,20,-932.83
A O Smith,AOS,17/02/2021,12/07/2022,87,-19.38
AbbVie,ABBV,27/11/2020,19/07/2023,56,-18.19
Alphabet (Class A),GOOGL,30/06/2020,30/06/2020,20,0
American States Water,AWR,14/12/2020,11/04/2022,42,227.54
American Tower,AMT,15/10/2020,05/07/2023,57,74.71
Annaly Capital Management,NLY,14/12/2020,10/04/2023,330.5,-1276.42
Apple,AAPL,01/07/2020,28/11/2023,46,0
AT&T,T,04/05/2020,09/04/2021,153.584,-811.87
Adobe,ADBE,10/11/2023,29/11/2023,12,0
Applied Materials,AMAT,30/08/2023,05/12/2023,59,0
Beyond Meat,BYND,17/02/2021,17/02/2021,20,-2224.87
Bit Digital,BTBT,31/12/2020,04/01/2021,17,-42.36
Broadcom,AVGO,05/06/2020,04/01/2022,10,0
Caterpillar,CAT,17/02/2021,28/11/2023,33,0
Clearway Energy,CWEN,08/10/2020,28/11/2023,208,-38.67
Clearway Energy,CWEN/A,27/12/2021,29/11/2023,99,0
Cloudflare,NET,03/06/2020,01/07/2020,58,1305.67
Comcast,CMCSA,14/01/2021,11/04/2022,78,-109.05
Costco Wholesale,COST,17/02/2021,08/11/2023,15,0
Cronos,CRON,17/02/2021,17/02/2021,45,-0.83
CVS Health,CVS,17/02/2021,18/08/2021,34,257.69
Digital Realty Trust,DLR,22/10/2020,10/04/2023,99,-441.14
Ecolab,ECL,01/02/2021,11/04/2022,15,-99.34
Essential Utilities,WTRG,25/01/2021,11/04/2022,100,-305.78
Expedia,EXPE,29/05/2020,16/08/2021,17,238.29
Extra Space Storage,EXR,17/02/2021,05/07/2023,29,-322.25
Fastly,FSLY,30/06/2020,13/04/2021,32,-266.68
Gladstone Commercial,GOOD,28/08/2020,10/04/2023,438,-1385.96
Global Medical REIT,GMRE,10/04/2023,01/12/2023,826.09,0
Hannon Armstrong Sustainable Infrastructure Capital,HASI,29/09/2020,26/07/2023,193,-3391.86
Hillenbrand,HI,16/11/2020,28/04/2022,132,267.58
Home Depot,HD,17/02/2021,17/11/2023,27,-32.23
Honeywell International,HON,28/01/2021,11/04/2022,22,-84.02
Horizon Technology Finance,HRZN,24/06/2021,18/10/2023,959,-379.07
Intercontinental Exchange,ICE,17/02/2021,11/11/2021,26,146.38
Intuit,INTU,10/10/2023,27/11/2023,15,0
Johnson & Johnson,JNJ,18/12/2020,01/09/2021,15,188.5
JPMorgan Chase & Co,JPM,11/04/2022,29/06/2022,22,463.48
Livongo,LVGO,09/07/2020,31/07/2020,8.5,0
LTC Properties,LTC,19/11/2020,06/07/2023,262,107.08
M&T Bank,MTB,02/04/2022,02/04/2022,21.36,2286.94
Medtronic,MDT,01/02/2021,30/01/2023,38,-670.31
Merck & Co,MRK,14/12/2020,28/04/2022,54.58,-2.77
Meta Platforms,META,11/05/2020,01/07/2020,12,172.04
Mastercard,MA,14/08/2023,27/11/2023,15,0
Moody's,MCO,06/11/2023,28/11/2023,23,0
National Grid,NG,04/05/2020,04/05/2020,1,-0.76
Netflix,NFLX,31/07/2020,28/08/2020,0.8,1.51
New York Mortgage Trust,NYMT,17/02/2021,10/04/2023,487,-992.12
NextEra Energy,NEE,15/09/2020,25/07/2023,107,-511.98
Nike,NKE,28/10/2020,11/04/2022,40,-259.66
Omega Healthcare Investors,OHI,04/05/2021,17/11/2023,316,-293.46
Orion Office REIT,ONL,15/11/2021,25/11/2021,6.5,68.35
People's United Financial,PBCT,30/04/2020,22/12/2021,181,0
PetMed Express,PETS,24/11/2020,27/02/2023,270,-2356.22
Public Storage,PSA,17/02/2021,18/05/2022,13,-2.83
Qualcomm,QCOM,30/06/2020,28/10/2022,37,601.93
Realty Income,O,06/11/2020,16/10/2023,234.08,157.43
Riot Platforms,RIOT,04/01/2021,16/04/2021,149,-2294.67
Rithm Capital,RITM,17/02/2021,10/04/2023,644,-83.14
Salesforce,CRM,30/08/2021,31/08/2021,8,-133.55
Seagate Technology,STX,17/02/2021,29/11/2022,35,127.27
Service Corp International,SCI,19/02/2021,11/04/2022,52,462.32
Signature Bank,SBNY,05/02/2021,17/02/2021,19,-2839.71
Silvergate Capital,SICP,16/11/2020,23/12/2020,61,-1960.77
Simon Property,SPG,20/11/2020,23/08/2023,85,122.23
Slack,WORK,17/02/2021,17/02/2021,15,-4.31
Snowflake,SNOW,16/09/2020,16/09/2020,2,-3.11
SolarEdge Technologies,SEDG,13/08/2020,21/04/2021,8,214.83
STORE Capital,STOR,06/10/2020,31/05/2022,248,537.58
S&P Global,SPGI,23/08/2023,17/11/2023,20,0
Target,TGT,17/02/2021,10/10/2023,33,0
Uber Technologies,UBER,17/02/2021,17/02/2021,27,-41.52
Union Pacific,UNP,17/02/2021,05/07/2023,21,223.53
UnitedHealth,UNH,06/09/2023,01/12/2023,17,0
Verizon Communications,VZ,28/01/2021,11/04/2022,99,-50.53
VICI Properties,VICI,05/12/2022,05/12/2023,420,-151.84
Visa,V,28/01/2021,27/11/2023,38,283.36
Walt Disney,DIS,17/02/2021,17/02/2021,23,-1201.33
Warner Bros Discovery,WBD,08/04/2022,08/04/2022,18.87,389
Waste Management,WM,14/12/2020,20/01/2022,20,784.95
Welltower,WELL,18/05/2020,01/08/2023,131,432.74
