Company Name,Ticker Symbol,"Date of First (Oldest)
 Purchase","Date of Last (Most Recent) 
Purchase",ROI,Realized Capital Gain & Loss
3M,MMM,17/02/2021,11/04/2022,-0.221697831,-932.83
A O Smith,AOS,17/02/2021,17/11/2023,0.419083261,-19.38
AbbVie,ABBV,27/11/2020,28/11/2023,0.638164593,2130.12
Alphabet (Class A),GOOGL,30/06/2020,01/07/2024,-0.084438021,1222.69
American States Water,AWR,14/12/2020,11/04/2022,0.155651214,227.54
American Tower,AMT,15/10/2020,15/03/2024,0.131527764,74.71
Annaly Capital Management,NLY,14/12/2020,10/04/2023,1.17149803,-1276.42
Apple,AAPL,01/07/2020,01/07/2024,0.271971578,0
AT&T,T,04/05/2020,09/04/2021,-0.311765225,-811.87
Adobe,ADBE,10/11/2023,29/11/2023,-0.150207513,-521.54
Applied Materials,AMAT,30/08/2023,08/04/2024,0.086271484,1205.58
Beyond Meat,BYND,17/02/2021,17/02/2021,-0.963833103,-2224.87
Bit Digital,BTBT,31/12/2020,04/01/2021,-0.884526949,-42.36
Broadcom,AVGO,05/06/2020,08/04/2024,-0.82386324,6075.24
Caterpillar,CAT,17/02/2021,28/11/2023,0.544312835,0
Clearway Energy,CWEN,08/10/2020,28/11/2023,-0.016378116,-904.47
Clearway Energy,CWEN/A,27/12/2021,29/11/2023,-0.046533119,-506.17
Cloudflare,NET,03/06/2020,01/07/2020,1.279801929,1305.67
Comcast,CMCSA,14/01/2021,11/04/2022,-0.189674954,-109.05
Costco Wholesale,COST,17/02/2021,22/05/2024,0.568590754,914.72
Cronos,CRON,17/02/2021,17/02/2021,-0.79821037,-0.83
CVS Health,CVS,17/02/2021,18/08/2021,-0.126623453,257.69
Digital Realty Trust,DLR,22/10/2020,14/03/2024,0.226148312,-441.14
Ecolab,ECL,01/02/2021,11/04/2022,0.233576968,-99.34
Essential Utilities,WTRG,25/01/2021,11/04/2022,-0.062169159,-305.78
Expedia,EXPE,29/05/2020,16/08/2021,0.29139144,238.29
Extra Space Storage,EXR,17/02/2021,05/07/2023,0.186524976,-322.25
Fastly,FSLY,30/06/2020,13/04/2021,-0.899900708,-802.7
Gladstone Commercial,GOOD,28/08/2020,10/04/2023,-0.116934504,-1385.96
Global Medical REIT,GMRE,10/04/2023,04/01/2024,0.009254987,-324.72
